ATHENS:
0.0629, 0.168, 0.0053
0.0817, 0.2207, 0.0077
0.0281, 0.0956, 0.0027
0.0351, 0.1117, 0.0034
0.0639, 0.1885, 0.0067
0.0304, 0.1012, 0.0033
0.0488, 0.1123, 0.0031
0.0409, 0.1114, 0.0033
0.0576, 0.1894, 0.005
0.0395, 0.1143, 0.0032

Column 2 - Min: 0.0956, Max: 0.2207, Avg: 0.14131
Column 1 - Min: 0.0281, Max: 0.0817, Avg: 0.048889999999999996
Column 3 - Min: 0.0027, Max: 0.0077, Avg: 0.00437

CAIRO:
0.1222, 0.3253, 0.0104
0.3768, 0.7093, 0.0164
0.1202, 0.2283, 0.0101
0.1082, 0.2017, 0.0097
0.5, 0.7652, 0.0356
0.2816, 0.4465, 0.0219
0.2719, 0.4414, 0.0258
0.1891, 0.3026, 0.0142
0.2677, 0.4196, 0.0221
0.2415, 0.3831, 0.0167

Column 2 - Min: 0.2017, Max: 0.7652, Avg: 0.4223
Column 1 - Min: 0.1082, Max: 0.5, Avg: 0.24792
Column 3 - Min: 0.0097, Max: 0.0356, Avg: 0.01829

IBM-100:
0.7758, 0.945199, 0.05
0.9109, 1.0856, 0.0511
0.619, 0.7426, 0.0413
0.584299, 0.714099, 0.0343
0.5461, 0.6688, 0.0341
0.501199, 0.598399, 0.0294
0.6139, 0.8491, 0.0785
0.4463, 0.5334, 0.0257
0.5028, 0.5895, 0.0255
0.438899, 0.523499, 0.025

Column 2 - Min: 0.523499, Max: 1.0856, Avg: 0.7250196
Column 1 - Min: 0.438899, Max: 0.9109, Avg: 0.5939197
Column 3 - Min: 0.025, Max: 0.0785, Avg: 0.03949

IBM-500:
4.463, 4.7708, 0.1665
3.9339, 4.2073, 0.1384
4.1416, 4.399, 0.1367
3.6216, 3.8712, 0.1322
4.7706, 5.0786, 0.1765
4.1983, 4.4434, 0.136
3.6239, 3.9257, 0.131401
3.7522, 4.0178, 0.1459
3.3698, 3.5943, 0.1298
3.429, 3.6616, 0.1319

Column 2 - Min: 3.5943, Max: 5.0786, Avg: 4.19697
Column 1 - Min: 3.3698, Max: 4.7706, Avg: 3.93039
Column 3 - Min: 0.1298, Max: 0.1765, Avg: 0.1425301

IBM-1000:
14.1204, 14.5429, 0.5555
10.7167, 11.0729, 0.5242
10.7354, 11.1498, 0.5217
11.2647, 11.6655, 0.5454
11.9453, 12.5174, 0.6625
13.3458, 13.8817, 0.7034
10.922, 11.3045, 0.5094
14.5571, 14.949, 0.5548
11.0725, 11.4503, 0.5316
10.8487, 11.2561, 0.524

Column 2 - Min: 11.0729, Max: 14.949, Avg: 12.379010000000001
Column 1 - Min: 10.7167, Max: 14.5571, Avg: 11.95286
Column 3 - Min: 0.5094, Max: 0.7034, Avg: 0.56325

IBM-5000:
198.596, 200.253, 19.8782
196.748, 198.389, 26.9954
190.202, 191.771, 22.5927
194.991, 196.545, 23.0821
196.659, 198.239, 19.8411
189.923, 191.497, 22.9089
194.011, 195.577, 23.3057
188.165, 190.01, 19.4882
200.043, 201.731, 19.8965
194.777, 196.373, 22.8928

Column 2 - Min: 190.01, Max: 201.731, Avg: 196.0385
Column 1 - Min: 188.165, Max: 200.043, Avg: 194.4115
Column 3 - Min: 19.4882, Max: 26.9954, Avg: 22.088160000000002

IBM-10000:
760.246, 765.443, 103.636
771.482, 774.674, 88.7008
942.814, 952.026, 106.65
966.85, 970.473, 108.368
777.722, 780.83, 89.7924
764.835, 768.49, 107.983
856.371, 860.623, 91.3056
913.209, 921.384, 105.287
774.587, 777.614, 94.7057
788.394, 792.463, 120.75

Column 2 - Min: 765.443, Max: 970.473, Avg: 836.402
Column 1 - Min: 760.246, Max: 966.85, Avg: 831.651
Column 3 - Min: 88.7008, Max: 120.75, Avg: 101.71785
